,Occupation,Arm.Hand.Steadiness,Auditory.Attention,Category.Flexibility,Control.Precision,Deductive.Reasoning,Depth.Perception,Dynamic.Flexibility,Dynamic.Strength,Explosive.Strength,Extent.Flexibility,Far.Vision,Finger.Dexterity,Flexibility.of.Closure,Fluency.of.Ideas,Glare.Sensitivity,Gross.Body.Coordination,Gross.Body.Equilibrium,Hearing.Sensitivity,Inductive.Reasoning,Information.Ordering,Manual.Dexterity,Mathematical.Reasoning,Memorization,Multilimb.Coordination,Near.Vision,Night.Vision,Number.Facility,Oral.Comprehension,Oral.Expression,Originality,Perceptual.Speed,Peripheral.Vision,Problem.Sensitivity,Rate.Control,Reaction.Time,Response.Orientation,Selective.Attention,Sound.Localization,Spatial.Orientation,Speech.Clarity,Speech.Recognition,Speed.of.Closure,Speed.of.Limb.Movement,Stamina,Static.Strength,Time.Sharing,Trunk.Strength,Visual.Color.Discrimination,Visualization,Wrist.Finger.Speed,Written.Comprehension,Written.Expression,Administration.and.Management,Biology,Building.and.Construction,Chemistry,Clerical,Communications.and.Media,Computers.and.Electronics,Customer.and.Personal.Service,Design,Economics.and.Accounting,Education.and.Training,Engineering.and.Technology,English.Language,Fine.Arts,Food.Production,Foreign.Language,Geography,History.and.Archeology,Law.and.Government,MathematicsKnowledge,Mechanical,Medicine.and.Dentistry,Personnel.and.Human.Resources,Philosophy.and.Theology,Physics,Production.and.Processing,Psychology,Public.Safety.and.Security,Sales.and.Marketing,Sociology.and.Anthropology,Telecommunications,Therapy.and.Counseling,Transportation,Active.Learning,Active.Listening,Complex.Problem.Solving,Coordination,Critical.Thinking,Equipment.Maintenance,Equipment.Selection,Installation,Instructing,Judgment.and.Decision.Making,Learning.Strategies,Management.of.Financial.Resources,Management.of.Material.Resources,Management.of.Personnel.Resources,MathematicsSkill,Monitoring,Negotiation,Operation.and.Control,Operation.Monitoring,Operations.Analysis,Persuasion,Programming,Quality.Control.Analysis,Reading.Comprehension,Repairing,Science,Service.Orientation,Social.Perceptiveness,Speaking,Systems.Analysis,Systems.Evaluation,Technology.Design,Time.Management,Troubleshooting,Writing,Job.Zone,Career.Cluster,Career.Cluster.Abbrev
91,Biomedical Engineers,2.38,2,4.5,2.5,4.75,2.12,0,0,0,0.88,3.25,2.88,3.88,4.12,0,0,0,2.12,4.75,4,1.75,4.38,2.62,0.88,3.88,0,3.88,5,4.88,4.75,3.25,0,4.75,0.38,0.75,0.5,3.25,0,0,3.25,3.62,3.38,0,0,0,2.12,0.88,3,3.75,1.25,4.88,4.5,4.33,5.6,1.47,5,2.77,2.9,5.9,3.43,5.8,2.1,4.14,6.5,4.52,0.45,0.4,1.59,0.8,0.66,3.17,5.8,4.8,4.31,2.83,0.82,5.43,3.87,2.6,2.33,3.1,1.07,2.9,1.83,0.97,4.75,4.38,4.62,3.5,4.75,2.88,2.75,2.88,4,4.75,4.12,2.25,2.88,3.25,4.62,4.12,3,2,3.38,4.38,3.5,3.5,3.75,5.12,2.62,4.62,3.12,3.5,4.38,3.88,4,4,3.62,3.38,4.25,4,Health Science,HealthSci
92,Biostatisticians,1.12,1.38,4.25,1,4.88,0.75,0,0.38,0,0.38,2.75,2.5,3.38,3.88,0,0.25,0.25,1.12,4.88,4.25,0.88,4.75,2.75,0.38,3.75,0,4.25,5.12,5.12,3.88,2.75,0,4.38,0.12,0.12,0.25,3,0,0,4.25,4,2.88,0.25,0.38,0.38,2.12,0.62,1.5,3.25,0.62,5,5,3.56,3.76,0.16,1.4,1.92,2.84,5.28,2.44,1.32,0.8,4.44,1.24,4.68,0.16,0.44,0.36,1.44,0.36,2.08,6.6,0.16,3.2,2.24,0.56,1.04,0.72,2.64,0.76,1.28,1.4,1.12,0.96,0.6,4.62,4.25,4.38,3.38,4.88,0,1,0,4.25,4.25,3.88,1.5,1.38,3.25,5.25,3.88,2.88,0.38,0.88,3.12,2.88,4.12,1.75,5.12,0.25,4.75,2.75,3.25,4.5,3.75,3.5,1.25,3.62,0,5.12,5,"Science, Technology, Engineering & Mathematics",SciEng
93,Boilermakers,3.12,2.88,3,3.75,3.25,2.75,0.62,2.38,1,3.25,2.88,3.38,2.88,2.75,2.12,2.5,2.62,2.75,3.25,3,3.38,2.12,2,3.25,3.88,1.62,2.12,3.38,3.12,2.38,3,1.75,3.38,2.88,3.25,2.88,2.75,1.75,1.88,3,2.88,2.38,1.5,2.12,3.25,2.75,3.12,2.75,3.25,2.25,3,3,2.35,1.06,4.94,2.97,2.17,0.87,1.72,2.69,4.24,1.69,3.09,3.35,2.18,0,0.04,0.89,0.5,0.41,1.34,4.43,4.72,0.8,2.1,0.61,2.33,3.39,1.27,2.68,2.11,0.28,0.21,0.49,1.5,3,3,3.12,2.75,3.12,3,2.75,1.5,2.38,3.12,2.75,0.62,1.5,2.38,2,3.12,2.12,3.5,3.38,2.5,2.12,0,3.25,3,3.12,1.88,2.25,2.62,2.88,2.38,2.25,1,3,3,2.88,3,Architecture & Construction,ArchitCons
94,"Bookkeeping, Accounting, and Auditing Clerks",1.75,1.25,3,1.75,3.12,0,0,0.5,0,0,2.38,2.38,2.88,2,0,0,0,1,3.25,3.12,1.75,3.88,2.25,0,4,0,3.88,4,3.75,1.75,2.88,0,3,0,0,0,2.88,0,0,3.25,3.12,2.25,0,0,0,2,1.25,1.5,1.75,0.88,3.88,3.62,2.44,0,0.18,0.22,4.83,1.27,3.87,4.4,0.05,3.34,2.74,0.1,3.21,0,0.4,0.28,1,0.01,1.64,3.56,0.63,0.38,1.87,0.33,0.11,1.27,1.52,1.15,1.47,0.66,0.8,0.54,0.4,3.12,3.75,2.88,2.75,3.25,0,0,0,2,2.88,1.88,1.75,0.88,2,3.38,2.88,2.38,0.12,0.62,0.38,2.12,0.38,0.12,3.75,0,0.12,2.88,2.75,3.12,2.12,2.12,0.12,2.88,0,3.12,3,Business Management & Administration,BusinManAdmin
95,Brickmasons and Blockmasons,3.12,2.12,3,2.88,2.75,2.75,1.38,3.25,1.62,3.88,3,3,2.38,2.12,2,2.75,3,2.25,2.75,3.12,3.25,2.25,2,3.25,3.62,1.38,2.25,3.12,3,2.12,2.38,1.38,3,2,2.88,1.88,3,1.12,2,2.38,2.62,2,1.75,2.88,4,2.75,4.12,2.88,3.88,2,2.88,2.12,3.3,0.08,5.79,2.9,1.06,0.9,1.18,2.57,3.35,1.05,2.56,3.34,2.74,0,0,0.73,0.76,0,1.57,3.38,3.7,0.66,1.88,0,1.43,3.25,1.17,3.47,1.6,0.66,0.86,0.2,1.29,2.12,2.75,2.25,3.12,3,2,2,0.12,2.12,2.12,2.12,1,1.75,2.12,3.38,2.88,2.12,2.12,2.25,1.62,2.25,0,2.88,2.38,1.88,1.25,2.12,2.25,2.5,2.12,2.12,0.75,2.62,2,2.12,2,Architecture & Construction,ArchitCons
96,Bridge and Lock Tenders,2.5,2.75,2.63,3.38,2.75,3,0,1.88,0.13,1.88,3.63,2.5,2.63,2.13,3.38,1.88,2.13,2.63,2.5,2.75,2.5,1.63,2.25,2.88,2.75,2,2,3,2.88,2,2.75,1.63,2.88,2.5,3.25,2.63,3.25,2.13,1.88,3.38,2.75,2.63,2.13,2,2.25,2.88,2.5,2.5,2.25,1.88,2.63,2.88,1.86,1.24,1.28,1.32,2.46,2.03,1.56,3.21,1.11,0.9,3.21,1.79,3.11,0.21,0.21,1.07,1.76,0.79,2.04,1.86,2.25,1.34,2.45,0.79,1.21,0.86,2.57,4.21,0.62,0.9,1.86,1.14,2.43,2.25,2.62,2.5,3.12,2.88,2.25,1.75,0,2.5,2.5,2.25,0,0.25,2.12,1.88,2.88,2.25,3,2.88,0.88,2.38,0,2.62,2.38,2.38,0.38,2.62,2.38,2.62,0.12,1.5,0.12,2.5,2.25,3.12,1,"Transportation, Distribution & Logistics",TransLog
97,Broadcast News Analysts,1.62,2.12,3.38,1.88,4,1.38,0,0.38,0,0,3.25,1.88,3,3.62,0.62,0,0,2.25,3.88,3.62,1.38,2.12,2.75,0.75,3.88,0,2.5,4.5,4.62,3.5,2.88,0,4,0,0,0.12,3.12,0,0,4.88,4,2.88,0,0,0,3,0.62,2,2.5,0.5,4,4,3.28,1.12,0.78,0.87,3.23,5.58,4.03,4.98,1.15,1.75,3.5,1.94,5.21,1.36,0.89,2.48,3.66,3.3,3.51,2.43,1.27,1.72,2.57,3.01,0.87,1.41,3.25,2.77,2.36,2.87,3.28,1.1,2.1,3.75,4,3,3.5,4,0,0,0,2.75,3,2.75,1.12,1.12,2.75,1.88,3.75,3,1.75,2,1.62,3.38,1.12,0.12,4.5,0,0.12,3,3.88,4.75,2.88,2.5,0.88,3.38,0,4.12,4,"Arts, Audio/Video Technology & Communications",ArtAVComm
98,Broadcast Technicians,2.5,2.62,3.38,3,3.62,2.25,0,1.25,0,1.38,3.62,3.12,3.38,3,0.12,1.25,0.5,3,3.25,3.25,2.38,2.38,2.88,2.5,3.75,0.12,2.12,4.12,3.88,3,3.25,0.38,3.75,2,2.75,2,3.62,0.75,0.38,3.12,3.5,3.25,0.12,1.12,2.12,2.38,1.88,3.5,3.38,1.38,3.5,3.25,3.27,0.59,2.43,1.68,3.05,4.3,4.87,2.92,2.22,1.34,3.28,4.18,3.26,0.77,0,0.19,1.91,0.86,1.99,3.49,3.58,0.35,1.87,1.35,2.15,2.81,2.28,2.66,1.51,1.14,4.35,0.84,1.6,3.12,3.5,3.12,3.25,3.38,2.88,3.12,2.25,3.12,3.38,2.88,0.75,1,2.62,2.75,3.75,1.38,2.88,3.62,1.88,2.12,1.5,3.38,3.62,2.88,1,2.12,2.88,3.38,3,3,2.12,3,3,3,3,"Arts, Audio/Video Technology & Communications",ArtAVComm
99,Brokerage Clerks,1.62,2,3,1.62,3.75,0.62,0,0,0,0,2.75,2.62,2.75,2.38,0,0,0,1.88,3.12,3,1.62,3,2.38,0,3.88,0,3.75,3.88,4,2.38,2.62,0,3.12,0,0,0,3,0,0,3.5,3.75,2.5,0,0,0,2.75,0.25,1.88,2,0.38,3.75,3.62,2.23,0,0,0,3.24,2.22,3.97,4.61,0.47,2.78,2.04,0.64,4.23,0,0,1.71,0.82,0.64,2.69,3.94,0.08,0.06,2.3,0.15,0.34,1.18,1.32,1.6,3.4,0.5,1.75,0.47,1.5,3,3.88,2.88,2.88,3.62,0,0,0,2,2.88,2.75,1.25,1,2.12,3.5,3,2.5,0.25,1.12,0.75,2.12,1.75,0.12,3.75,0,0,3.12,3,3.62,2.12,2.25,0,3.12,0,3.5,3,Finance,Fin
100,Brownfield Redevelopment Specialists and Site Managers,0,2.12,4,1.38,4.5,1.88,0,0,0,0,3.38,2.25,3.25,3.75,0.25,0.25,0,1.62,4.25,3.75,0,3.5,2.25,1.38,3.62,0,3.5,4.38,4.25,3.62,2.88,0,4.5,0.25,0.38,0.38,2.88,0.12,0.62,3.75,3.5,2.5,0,0,0,2.5,0.5,2.38,3.38,0.12,4.5,4.25,4.08,3.96,3.64,3.92,4.2,2.96,4.04,4.04,3.92,3.44,3.56,4.12,4.52,0.16,0.72,0.72,4.04,2,4.04,4.52,2.68,0.52,2.84,0.88,3.04,1.76,1.56,3.56,3.36,1.84,1.4,0.48,2.62,3.62,3.88,4.12,4.38,4.12,0,1.12,0,3.25,3.75,3,3.62,3.25,3.5,3.75,4,3.75,1.75,2.62,3.12,3.62,1,2.88,4.38,0,2.75,3.12,3.12,4.12,3.5,3.62,2.12,3.75,1.75,4.25,4,Business Management & Administration,BusinManAdmin
101,Budget Analysts,0,1.38,3.75,0,3.88,0.62,0,0,0,0,2.75,1.12,3,3,0,0,0,1.75,3.88,3.75,0,4.12,2.5,0,3.12,0,4.25,4,4,2.88,2.75,0,3.88,0,0,0,3,0,0,3.25,3.25,2.25,0,0.25,0,2,0.62,1.88,1.88,0.12,4,3.88,4.41,0.1,0.39,0.2,4.68,2.49,3.61,4.1,0.42,5.14,3.16,0.53,4.04,0.07,0.03,0.32,1.29,0.67,3.65,4.48,0.44,0.12,3.64,1.64,0.09,0.79,2.05,1.64,0.29,1.84,0.93,0.89,0.69,3.38,4,3.5,3,3.88,0,0,0,2.88,3.62,2.75,3.75,2,2.75,3.5,3.38,2.75,0,1,3,2.88,1.12,0.5,4,0,0.25,2.75,3,3.38,3.5,3,0.88,3,0,3.75,4,Finance,Fin
102,Bus and Truck Mechanics and Diesel Engine Specialists,3.25,3.38,3,3.5,3.25,3.12,0.25,2.12,0.5,3.62,3,3.5,3.12,2.62,2.12,2.25,2.38,3.75,3.25,3.12,3.38,1.38,2.12,3.5,3.75,1.5,2,3.75,3.25,2.5,3,1.62,3.25,2.12,3,2.88,3,2.5,1.62,2.75,2.88,2.5,2.25,2.5,3.12,2.88,3,3.38,3.75,2.12,2.88,2.5,3.01,0.65,1.83,2.46,2.22,1.4,3.04,3.81,2.41,1.4,3.37,3.97,3.28,0.32,0.47,0.84,0.64,0.31,2.09,3.01,5.61,0.52,1.54,0.26,3.07,2.94,1.46,3.37,1.14,0.35,1.38,0.37,3.88,3,3,3,3,3.25,3.25,2.88,1.75,2.62,2.88,2.5,0.75,0.88,2.12,1.75,3,1.88,3.12,3.12,1.12,2.38,0.62,3.25,2.88,3.75,1.62,2.38,2.62,2.88,2.38,2.38,0.75,2.88,3.5,2.5,3,"Transportation, Distribution & Logistics",TransLog
103,"Bus Drivers, School or Special Client",2.38,2.75,2.38,3.25,2.88,3,0.25,0.62,0.12,0.88,3.12,2.62,2.25,2,2.62,0.5,0.62,3,2.5,2.88,2.25,1.38,2.25,3,2.62,2.12,1.62,3,3,2,2.88,2.62,3,2.75,3.38,3.25,2.88,2.88,2.88,3,2.75,2.5,2,0.75,2.12,3,1.12,2.5,2.5,0.62,2.88,2.38,1.81,0.36,0.06,0.42,1.38,1.6,0.74,3.59,0.05,0.02,2.02,0.08,2.29,0.11,0.03,0.94,0.51,0.02,1.81,0.66,1.42,1.21,1.15,0.66,0.2,0.04,2.58,3.52,0.01,1.48,1.29,1.75,4.29,1.88,2.62,2.38,2.75,2.88,2,1.62,0,1.12,2.38,1.12,0.38,0.25,0.75,1.62,2.88,2.25,2.75,2.75,0.38,2.5,0,2.38,2.5,2.12,0.12,2.75,2.88,2.38,0.62,1.75,0,2.88,2.25,2.25,2,"Transportation, Distribution & Logistics",TransLog
104,"Bus Drivers, Transit and Intercity",2.88,3,2,3.38,2.25,2.88,0.12,1.25,0.62,2,3.62,2.12,2.25,1.62,2.75,1.5,0.75,2.75,2.25,2.62,2.12,1.12,2,3.5,2.88,2.75,1.25,2.88,3,1.75,2.88,3,3,3.25,3.75,3.88,3.25,2.12,2.88,2.88,2.88,2.12,1.5,0.88,1.88,3.25,2.12,2.5,2.25,1.12,2.5,2,2.49,0.36,0.77,1,1.94,1.82,2.55,5.47,1.13,1.01,2.29,1.65,3,0.47,0.37,1.19,1.56,0.97,2.12,1.48,1.67,0.84,1.73,1.06,0.7,1.26,2.67,3.29,1.9,1.13,1.67,1.1,4.44,2,2.75,1.62,2.5,2.75,1,0.38,0,1.5,2.38,1.75,1,0.75,1.5,1.75,2.5,1.62,3.12,3,0,1.75,0,1.75,2.38,0.88,0,2.62,2.38,2.25,1.12,1.12,0.75,2.75,1.75,2.12,2,"Transportation, Distribution & Logistics",TransLog
105,Business Continuity Planners,0,1.88,3.75,0,4.5,1.38,0,0,0,0,2.75,1,3.62,4,0,0,0,1.75,4,3.88,0,3.12,2.62,0,3.12,0,3.12,4,4,3.88,2.88,0,4.62,0,0,0,2.88,0,0,3.88,3.75,2.88,0,0,0,2.38,0.75,2,3.25,0.38,4.12,4.62,4.48,0.36,1.36,0.77,4.45,3.45,4.77,4.55,2.55,2.09,4.64,2.91,4.41,0.27,0.68,1.18,3.09,1.18,3.32,3.05,1.27,0.77,3.27,1.27,0.59,2.73,2.91,3.91,2.36,2.18,3.18,1.32,2.32,3.75,3.88,4.75,3.75,4.5,0,0.25,0,3.75,4,3.62,3.25,2.75,3.38,2.88,3.88,3.12,0.25,2.38,2.75,3.75,1.25,2.25,4.12,0,0.12,3.62,3.5,4,4,3.75,1.5,3.38,0.88,4,4,Business Management & Administration,BusinManAdmin
106,Business Intelligence Analysts,0,1,3.62,0.25,4.75,0.5,0,0,0,0,2.75,2,3.38,3.62,0,0,0,1.38,4.5,3.75,0,3.62,2.75,0,3.5,0.12,3.5,4.62,4.62,3.5,2.62,0,3.62,0,0,0,2.5,0,0,3.75,3.75,2.88,0,0,0,2.12,0.25,1.38,2.25,0,4.5,4.38,4.42,0.88,0.33,1.17,3.62,3.5,3.83,3.12,1.08,3,3.71,2.29,4.42,0.25,0.5,2,3.08,1.58,2.88,4.29,0.75,0.33,2.75,1.74,0.71,1.75,2.75,1.21,5.26,2.33,1.79,0.25,1.17,4,4.12,3.75,3.5,4.38,0.38,0.5,0.12,3.5,3.75,3.25,2.25,2.12,2.75,3.75,3.75,3.12,0.38,1.12,2.12,3.38,2.75,1.75,4.38,0,1.12,3,3.5,3.88,4.12,3.75,2.12,3.25,0.62,4,4,Information Technology,IT
107,"Business Teachers, Postsecondary",0,1.25,3.38,0.12,4.5,0.38,0,0,0,0,2.88,1.5,2.88,3,0,0,0,0.88,4.12,3.5,0,3.62,3.12,0,3.88,0,3.12,5,5.12,3.5,2.12,0,3.25,0,0,0,2.62,0,0,5.38,3.5,2.88,0,0.12,0,2.25,1.62,1.12,2,0.12,5,5.25,4.41,1.02,0.84,0.93,4.12,4.81,4.31,4.66,1.62,4.09,6.4,1.39,6,1.34,0.41,1.98,3.27,2.52,3.52,4.69,0.47,1.02,4.42,3.52,0.74,2.61,4.47,1.92,4.64,4.62,2.36,2.68,2.47,4.25,4.25,3.62,3.38,4.5,0,0,0,4.62,3.88,4.5,0.88,1.12,2.38,3.5,4.12,2.88,0.25,1,2.75,3.38,1.12,1,5,0,1.62,3.12,3.5,4.88,3.38,3.25,0.75,3.5,0,5,5,Education & Training,EduTrain
108,Butchers and Meat Cutters,3.12,2.12,3,3.12,2.88,2.12,0.5,2,1,2.25,2.5,3.12,2.25,2.25,0.62,1.88,1.88,2.12,2.88,3,3.25,2.12,2,3,3.25,0.5,2.25,3,3.12,2,2.38,0.62,2.88,2.12,2.38,2.12,2.5,0.5,0.62,3,3,2.25,1.5,1.88,3,2.38,2.88,3,2.75,2.25,2.88,2.25,2.15,0.94,0.66,1.35,1.71,1.06,1.59,3.84,1.01,0.96,2.06,0.99,2.07,0.05,4.14,0.44,0.44,0.14,0.84,2.25,2.39,0.37,1.58,0.5,0.47,3.29,1.45,1.36,2.65,0.34,0.35,0.45,0.77,2.12,3,2.5,2.75,3,1.12,0.88,0,2.25,2.38,2,2,1.75,3,2,2.88,2.75,2,2.12,1,2.88,0.12,2,3,1,0.25,2.88,2.88,3,2,2,0.5,3,1.88,2.75,2,Manufacturing,Manu
109,"Buyers and Purchasing Agents, Farm Products",1.5,2,3.25,1.38,3.38,1.62,0,0.5,0,0.5,3,2,2.75,3,0,0.5,0.5,2,3.38,3.12,1.38,3.38,2.5,1.38,3.62,0,3.25,4,4,3,2.25,0,3.12,0,0,0.12,2.88,0,0.12,3.25,3.38,2.25,0,1.12,1.38,2.5,1.62,2.62,2.12,0,3.88,3.25,4.78,2,2.11,1.55,4.22,2.3,4.54,4.68,2.51,4.14,4.02,3.01,4.34,0.39,3.82,0.74,3.17,1.65,3.77,4.62,2.57,0.89,2.68,0.51,1.27,4.08,2.3,3.75,3.96,1.42,2.13,1.2,4.18,3.12,3.38,3,3.12,3.75,0,0,0,2.88,3.38,3,2.88,3.12,3,3,3.12,3.62,1.75,2.12,1.75,3.75,0.75,2.38,3.5,0.25,1.38,2.62,3.12,3.88,2.88,2.62,1,3,1.25,3.12,4,"Agriculture, Food & Natural Resources",Agri
110,Cabinetmakers and Bench Carpenters,3.62,3.12,2.88,3.62,2.88,2.75,0.25,2.88,1.25,3.25,3.12,3.88,2.75,2.75,1.12,2.88,1.62,2.5,2.88,3.38,3.75,2.25,1.88,3.25,3.62,1,2.25,3.38,3.12,2.75,2.88,0.75,2.88,2.88,3.5,2.62,3.12,1.12,1.38,2.75,2.88,2.5,2.25,2.88,3.5,2.25,3.25,3.12,3.88,2.38,3.12,2.25,1.94,0.69,4.34,1.43,1.09,0.42,1.72,1.08,4.04,0.75,2.01,3.71,2.22,0.36,0.36,0.35,0.66,0.91,1.63,3.32,3.98,1.15,0.84,0.61,0.79,3.9,1.04,1.15,0.77,0.35,0.75,0.26,1.41,2.75,2.5,2.75,2.5,3,2.88,2.88,0.62,2.25,2.88,2.25,1.25,1.5,2.38,3,3.12,2,2.88,3.12,2.88,2.25,0.75,3.38,2.62,2.5,0.38,2,2.38,2.5,2,2,1.5,3,2.88,2.38,2,Manufacturing,Manu
111,Camera and Photographic Equipment Repairers,3.75,2.12,3,3.25,3.25,2.5,0,0.25,0.38,1,3.5,3.88,2.75,2.38,0,0,0,2,3.25,3.38,3.25,2.25,2.38,2.12,4,0,2.62,3.38,3.25,2.62,2.88,0,3.38,0.5,0.75,1.25,2.75,0,0,3,2.88,2.38,0,0,1.62,2,1.88,3.25,3.75,0.75,3.38,2.5,2.38,0,0.66,1.67,2.88,1.97,4.25,4.16,2.41,1.75,3.65,3.23,3.45,1.22,0.26,0.87,0.72,0.62,1.53,2.95,4.59,0.22,2.6,0.76,1.23,2.56,1.57,1.38,3.1,0.75,1.44,0.18,1.18,3.12,3.12,3.12,2.25,3.38,3.62,3.12,1.38,0.88,3,2.25,1.75,1.88,1.62,2.5,2.88,2,1.75,3,1.75,2.12,1.25,3.38,3.5,3.88,1.88,2.25,2.5,3,2.12,2.12,2.25,3,3.62,3,3,Manufacturing,Manu
112,"Camera Operators, Television, Video, and Motion Picture",3,2.5,3,3.12,3.5,2.88,0,1.62,0.12,2,4.12,3,3.25,3.38,2.25,1.88,1.12,2,3,3.25,2.75,1.88,1.88,3.12,3.88,1.75,2,3.88,3.75,3.12,3.12,1.38,3,2.38,2.5,2.62,3.38,1,2,3.25,3.5,2.38,1.75,1.75,2.88,2.62,2.5,3.88,3.62,1.62,3.25,3,2.5,0.02,0.73,0.33,1.98,4.53,4.94,1.87,1.2,0.8,2.5,3.37,3.25,1.94,0.1,1.19,2.08,1.11,1.68,1.88,2.39,0.21,1.37,1.45,0.57,1.77,1.94,1.72,1.8,1.42,3.78,0.59,1.98,3.25,3.25,3.12,3.62,3.5,1,2.62,0.25,2.5,3.25,2.62,0.75,2.12,2.62,2,3,2,3.25,3,2.25,2.75,0.5,3.12,3.12,1,0.5,2.5,3.12,3.12,2,2.12,1.75,3.25,1.88,3,3,"Arts, Audio/Video Technology & Communications",ArtAVComm
113,Cardiovascular Technologists and Technicians,3.12,2,3.25,3.12,3.88,2,0.12,1.5,0,2.38,3,3.12,3.25,3,0,2,1.38,2.25,3.88,3.38,2.88,2.75,2.62,2.62,3.62,0,2.75,4,4,2.62,3.25,0,4.12,2.12,2.5,2,3.25,0,0,3.12,3.12,3,1.38,1.88,2,2.88,2.75,2.38,2.62,2,3.62,3.5,2.03,2.29,0.17,2.24,3.26,1.62,3.89,5,0.19,0.54,2.9,1.27,3.44,0.21,0.01,1.23,0.46,0.4,1.35,3.3,1.63,4.06,0.89,1.42,2.64,1.03,3.5,1.95,0.16,1.44,1.5,2.16,0.86,3.38,3.88,3.12,3,3.75,2.38,2.12,0,3.25,3.25,3,0.75,1.25,2.75,2.5,3.75,2.5,3,3.12,0.62,2.25,0.62,2.5,4.12,2.25,2.88,3.25,3.25,3.62,2.75,2.62,0.88,3,2.5,3.5,3,Health Science,HealthSci
114,"Career/Technical Education Teachers, Middle School",1.62,2.5,3.25,1.75,3.88,1.75,0,1,0.5,1,3.25,1.75,2.75,3.38,0,1.25,1,2.25,3.5,3,1.75,2.38,2.62,1.75,3.62,0,2.38,4.12,4.25,3.38,3,0,4,0.75,1.5,0.5,3.12,0,0.12,4.12,3.75,2.62,0.38,1.38,1.75,2.88,2.12,2.12,3,1.5,4,4,3.27,2.2,2.42,2.52,4.06,2.89,4.22,3.62,3.44,2.49,4.57,3.06,4.53,1.47,1.74,1.63,2.57,2.24,2.65,3.44,2.85,0.83,3.11,2.26,1.46,2.39,4.07,2.33,2.21,3.24,1.35,2.53,1.78,3.5,4,3,3.12,3.88,0.25,0.62,0,4,3,4,1.12,2,2.62,2.38,3.75,2.75,1.62,1.75,2.62,3,0.75,1.88,4.12,0.38,1.38,3.12,3.88,4,3,3.12,0.88,3,1.38,3.62,4,Education & Training,EduTrain
115,"Career/Technical Education Teachers, Secondary School",2.88,2.25,3.88,2.12,4.12,2,0,1.25,0.5,1.25,3.25,2.75,3,3.38,0,1.5,0.75,2,3.88,3.62,2.5,3,3,1.75,3.62,0.12,3,4.12,4.12,3.62,2.75,0,4,0.75,1.75,0.5,3,0,0.12,4,3.75,3,1,1.5,2,3.12,2.12,2.38,2.88,1.62,4,4.12,3.42,1.77,1.66,1.95,4.55,3.62,4.81,5.28,3.13,2.61,5.99,3.18,5.16,1.67,0.95,1.1,3.27,2.34,3.3,4.02,2.09,1.78,3.53,2.35,1.83,3.14,4.13,3.33,3.34,3.78,2.64,3.52,1.85,3.75,4.12,3.38,3.62,3.88,0.75,1,0,4.12,3.12,4,0.88,2,2.62,3.12,4,3.25,1.88,2,0.62,3.75,1,1.62,4.12,0.62,0.88,3.5,3.75,4.12,3,3.25,1,3.38,1.62,3.88,4,Education & Training,EduTrain
116,Cargo and Freight Agents,0.75,2,3,0.5,3.12,1.25,0,0,0,0,2.62,2,2.38,2.38,0,0,0,0.88,3.12,3.25,0.75,2.62,2.12,0.25,3.25,0,2.5,4,3.88,2.38,2.62,0,3.25,0,0,0,3,0,0,3.12,3.12,1.88,0,0,0.25,2.62,0.25,1.62,2,0,3.62,3.12,2.63,0.19,0.27,1.62,3.64,2.3,3.53,3.94,0.47,2.67,3.3,1.71,3.45,0.13,0.84,1.76,3.78,0.34,2.7,3.38,0.87,0.19,2.46,1.58,0.77,2.81,1.84,2.64,3.16,1.75,1.5,0.16,3.54,2.88,3.12,3,3.12,3.62,0,0,0,2.5,2.88,2.12,0.38,1.12,2.5,2.62,3.12,3.12,0,1.12,1.25,2.75,0.25,2,3.25,0,0,3.12,3,3.38,2.38,2.5,0.25,3,0.75,3,2,"Transportation, Distribution & Logistics",TransLog
117,Carpet Installers,3.12,2.12,2.75,2.88,2.75,2.38,0.75,3.12,1.25,3.88,2.88,2.88,3,2.38,2,2.5,1.88,2.12,2.75,3,2.88,2.12,2,2.75,3.12,1,2.38,3.38,3.12,2.12,2.38,1.38,2.88,1.38,2.12,1.62,2.62,1,2,2.38,2.88,2,2.25,3,4.25,2.25,3.62,2.62,3.5,2.12,2.5,1.75,3.24,0.25,3.65,2.26,2,0.8,1.03,4.3,3.34,1.57,3.51,1.77,3.01,0.53,0.08,0.77,0.64,0.25,1.05,3.44,3.44,0.62,2.16,0.62,1.25,2.98,1.72,2.58,2.43,0.5,0.51,0.65,2.38,2.12,2.12,2.75,3.12,2.88,1.62,2,0.62,2.62,2.5,2.62,0.88,1.5,1.88,3.38,2.88,1.75,2.12,2.12,1.5,1.88,0,2.62,2.25,1.62,0,2.88,2.25,2.25,1.88,1.88,1,2.38,1.88,1.75,2,Architecture & Construction,ArchitCons
